,index,PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,SubArr,ExpNum,FileName,MVF_orig,MVF_norm,Experiment
94,94,10.0,2-6 SiaLac,200.0,98.0,0.49,3.321,325.436,1.7023316412443614,0,16,Data/H1N1_MDCK/MDCK_sheet2.csv,554.0,0.04885405047001429,Binder
95,95,10.0,2-6 SiaLac,300.0,105.0,0.35,5.169,542.696,0.7518021138906497,0,17,Data/H1N1_MDCK/MDCK_sheet2.csv,408.0,0.021575454233247738,Non-binder
96,96,10.0,2-6 SiaLac,300.0,105.0,0.35,4.835,507.665,1.0676331833000108,0,17,Data/H1N1_MDCK/MDCK_sheet2.csv,542.0,0.030639273897461256,Binder
97,97,10.0,2-6 SiaLac,300.0,105.0,0.35,4.83,507.112,1.0806291312372809,0,17,Data/H1N1_MDCK/MDCK_sheet2.csv,548.0,0.031012235711158718,Binder
98,98,10.0,2-6 SiaLac,300.0,105.0,0.35,4.83,507.191,0.8064023218077608,0,17,Data/H1N1_MDCK/MDCK_sheet2.csv,409.0,0.023142388224620884,Non-binder
99,99,10.0,2-6 SiaLac,300.0,105.0,0.35,4.712,494.788,0.5032458345796583,0,17,Data/H1N1_MDCK/MDCK_sheet2.csv,249.0,0.014442307718258494,Non-binder
100,100,10.0,2-6 SiaLac,300.0,141.0,0.47,4.29,604.914,0.7372948881989837,0,18,Data/H1N1_MDCK/MDCK_sheet2.csv,446.0,0.021159121293796254,Non-binder
101,101,10.0,2-6 SiaLac,300.0,141.0,0.47,4.671,658.633,0.9322338844242545,0,18,Data/H1N1_MDCK/MDCK_sheet2.csv,614.0,0.026753542104304025,Non-binder
102,102,10.0,2-6 SiaLac,300.0,141.0,0.47,4.31,607.672,1.0104135125528244,0,18,Data/H1N1_MDCK/MDCK_sheet2.csv,614.0,0.02899716573543634,Non-binder
103,103,10.0,2-6 SiaLac,300.0,141.0,0.47,4.304,606.929,0.6343410843772501,0,18,Data/H1N1_MDCK/MDCK_sheet2.csv,385.0,0.018204520553184788,Non-binder
