PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,MVF_orig,Status,Experiment,Self-model,Cross-model,MVF_norm
1.0,2-6 SiaLac,300.0,105.0,0.35,0.469,49.218,4.510544922589296,222.0,Conserved,Binder,Binder,Binder,0.12944504111688115
1.0,2-6 SiaLac,300.0,105.0,0.35,0.465,48.823,4.7723409049013785,233.0,Conserved,Binder,Binder,Binder,0.13695814480528612
1.0,2-6 SiaLac,300.0,105.0,0.35,0.474,49.771,4.64125695686243,231.0,Conserved,Binder,Binder,Binder,0.1331962563117947
1.0,2-6 SiaLac,300.0,105.0,0.35,0.457,48.033,4.954926821143797,238.0,Conserved,Binder,Binder,Binder,0.14219805302945596
1.0,2-6 SiaLac,300.0,141.0,0.47,0.354,49.861,4.71310242474078,235.0,Conserved,Binder,Binder,Binder,0.13525810021384718
1.0,2-6 SiaLac,300.0,141.0,0.47,0.328,46.265,5.446882092294391,252.0,Conserved,Binder,Binder,Binder,0.15631634059662616
1.0,2-6 SiaLac,300.0,141.0,0.47,0.325,45.772,5.177837979550818,237.0,Conserved,Binder,Binder,Binder,0.14859522777455178
1.0,2-6 SiaLac,300.0,141.0,0.47,0.348,49.119,5.150756326472444,253.0,Conserved,Binder,Binder,Binder,0.14781802995113874
1.0,2-6 SiaLac,300.0,141.0,0.47,0.404,56.969,4.353244747143183,248.0,Conserved,Binder,Binder,Binder,0.12493079105890237
1.0,2-6 SiaLac,300.0,141.0,0.47,0.327,46.166,5.111987176710134,236.0,Conserved,Binder,Binder,Binder,0.14670542066086967
5.0,2-6 SiaLac,150.0,44.0,0.29,1.801,78.355,3.34375598238785,262.0,Conserved,Binder,Binder,Binder,0.09596016402748592
5.0,2-6 SiaLac,150.0,44.0,0.29,1.787,77.727,3.3064443500971348,257.0,Conserved,Binder,Binder,Binder,0.09488938303341547
5.0,2-6 SiaLac,150.0,44.0,0.29,1.643,71.455,4.310405150094465,308.0,Conserved,Binder,Binder,Binder,0.12370136678831588
5.0,2-6 SiaLac,150.0,44.0,0.29,1.719,74.765,3.8119440914866582,285.0,Conserved,Binder,Binder,Binder,0.10939637408033687
5.0,2-6 SiaLac,150.0,44.0,0.29,1.599,69.572,3.607773242108894,251.0,Conserved,Binder,Binder,Binder,0.10353701463571313
5.0,2-6 SiaLac,150.0,44.0,0.29,1.613,70.158,3.591892585307449,252.0,Conserved,Binder,Binder,Binder,0.10308126653700089
5.0,2-6 SiaLac,150.0,60.0,0.4,1.664,99.858,1.6723747721764906,167.0,Gained in MDCK,Binder,Binder,Non-binder,0.04799433879109867
5.0,2-6 SiaLac,150.0,60.0,0.4,1.651,99.068,1.6352404409092745,162.0,Gained in MDCK,Binder,Binder,Non-binder,0.04692864603773323
5.0,2-6 SiaLac,150.0,60.0,0.4,1.634,98.063,1.9477274813130334,191.0,Gained in MDCK,Binder,Binder,Non-binder,0.05589649770261293
