PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,SubArr,ExpNum,FileName,MVF_orig,MVF_norm,Experiment
1.0,2-3 SiaLac,51.0,3.73,0.027,1.355,571.9557195571956,190.0,0,24,Data/H1N1_EGG/old_sheet1.csv,775.0,0.2306795519411505,Binder
1.0,2-3 SiaLac,51.0,3.73,0.029,1.499,1001.3342228152101,190.0,0,24,Data/H1N1_EGG/old_sheet1.csv,1501.0,0.403855267049662,Binder
1.0,2-3 SiaLac,51.0,3.73,0.032,1.632,387.25490196078437,190.0,0,24,Data/H1N1_EGG/old_sheet1.csv,632.0,0.15618654419696684,Binder
1.0,2-3 SiaLac,51.0,3.73,0.028,1.452,190.0826446280992,190.0,0,24,Data/H1N1_EGG/old_sheet1.csv,276.0,0.076663590895718,Binder
1.0,2-3 SiaLac,51.0,3.73,0.03,1.518,267.45718050065875,190.0,0,24,Data/H1N1_EGG/old_sheet1.csv,406.0,0.10787006834917345,Binder
1.0,2-3 SiaLac,51.0,3.73,0.028,1.452,421.4876033057851,190.0,0,24,Data/H1N1_EGG/old_sheet1.csv,612.0,0.16999317981224424,Binder
5.0,2-3 SiaLac,111.0,1.72,0.05,5.581,688.407095502598,190.0,0,25,Data/H1N1_EGG/old_sheet1.csv,3842.0,0.2776463892459912,Binder
5.0,2-3 SiaLac,111.0,1.72,0.05,5.535,343.0894308943089,190.0,0,25,Data/H1N1_EGG/old_sheet1.csv,1899.0,0.1383738521851238,Binder
5.0,2-3 SiaLac,111.0,1.72,0.05,5.489,320.8234651120423,190.0,0,25,Data/H1N1_EGG/old_sheet1.csv,1761.0,0.1293936062769847,Binder
5.0,2-3 SiaLac,111.0,1.72,0.04,4.473,503.46523585960205,190.0,0,25,Data/H1N1_EGG/old_sheet1.csv,2252.0,0.20305616511004176,Binder
5.0,2-3 SiaLac,111.0,1.72,0.057,6.268,277.44097000638163,190.0,0,25,Data/H1N1_EGG/old_sheet1.csv,1739.0,0.11189670189982301,Binder
5.0,2-3 SiaLac,111.0,1.72,0.054,5.995,392.8273561301084,190.0,0,25,Data/H1N1_EGG/old_sheet1.csv,2355.0,0.1584340105427662,Binder
5.0,2-3 SiaLac,93.0,2.05,0.069,6.408,514.9812734082396,190.0,0,26,Data/H1N1_EGG/old_sheet1.csv,3300.0,0.20770078057767594,Binder
