PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,MVF_orig,Status,Experiment,Self-model,Cross-model,MVF_norm
10.0,2-6 SiaLac,61.0,3.11,0.129,7.908,0.0,190.0,0.0,Lost in egg,Non-binder,Non-binder,Binder,0.0
10.0,2-6 SiaLac,61.0,3.11,0.113,6.898,5.508843142939983,190.0,38.0,Lost in egg,Non-binder,Non-binder,Binder,0.002221810927795778
10.0,2-6 SiaLac,61.0,3.11,0.121,7.406,17.14825816905212,190.0,127.0,Lost in egg,Non-binder,Non-binder,Binder,0.006916186648278707
10.0,2-6 SiaLac,61.0,3.11,0.143,8.754,134.3385880740233,190.0,1176.0,Others,Binder,Non-binder,Binder,0.05418105675962833
10.0,2-6 SiaLac,61.0,3.11,0.122,7.462,15.545430179576522,190.0,116.0,Lost in egg,Non-binder,Non-binder,Binder,0.0062697386282515345
10.0,2-6 SiaLac,53.0,3.62,0.114,6.004,12.158560959360427,190.0,73.0,Lost in egg,Non-binder,Non-binder,Binder,0.004903756179806774
10.0,2-6 SiaLac,53.0,3.62,0.106,5.568,14.367816091954024,190.0,80.0,Lost in egg,Non-binder,Non-binder,Binder,0.0057947866681545964
10.0,2-6 SiaLac,53.0,3.62,0.115,6.07,62.76771004942339,190.0,381.0,Lost in egg,Non-binder,Non-binder,Binder,0.02531529406119544
10.0,2-6 SiaLac,53.0,3.62,0.114,5.997,26.680006670001667,190.0,160.0,Lost in egg,Non-binder,Non-binder,Binder,0.010760504308249054
10.0,2-6 SiaLac,53.0,3.62,0.116,6.085,159.0797041906327,190.0,968.0,Others,Binder,Non-binder,Binder,0.06415957325164272
10.0,2-6 SiaLac,53.0,3.62,0.116,6.092,0.0,190.0,0.0,Lost in egg,Non-binder,Non-binder,Binder,0.0
1.0,2-3 SiaLac,111.0,1.72,0.021,2.272,327.02464788732397,190.0,743.0,Conserved,Binder,Binder,Binder,0.13189464965358494
1.0,2-3 SiaLac,111.0,1.72,0.023,2.531,295.9304622678783,190.0,749.0,Conserved,Binder,Binder,Binder,0.11935383126257065
1.0,2-3 SiaLac,111.0,1.72,0.024,2.628,520.9284627092846,190.0,1369.0,Conserved,Binder,Binder,Binder,0.21009938402959416
1.0,2-3 SiaLac,111.0,1.72,0.024,2.65,860.7547169811321,190.0,2281.0,Conserved,Binder,Binder,Binder,0.34715714111253587
1.0,2-3 SiaLac,111.0,1.72,0.024,2.694,904.2316258351893,190.0,2436.0,Conserved,Binder,Binder,Binder,0.3646921241738203
1.0,2-3 SiaLac,111.0,1.72,0.026,2.899,859.2618144187651,190.0,2491.0,Conserved,Binder,Binder,Binder,0.3465550279027139
1.0,2-3 SiaLac,93.0,2.05,0.019,1.747,840.2976531196337,190.0,1468.0,Conserved,Binder,Binder,Binder,0.3389064563755157
1.0,2-3 SiaLac,93.0,2.05,0.018,1.716,361.3053613053613,190.0,620.0,Conserved,Binder,Binder,Binder,0.14572064936142606
1.0,2-3 SiaLac,93.0,2.05,0.018,1.7,551.7647058823529,190.0,938.0,Conserved,Binder,Binder,Binder,0.22253616980772892
1.0,2-3 SiaLac,93.0,2.05,0.018,1.684,669.833729216152,190.0,1128.0,Conserved,Binder,Binder,Binder,0.2701554320503655
