PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,MVF_orig,Status
1.0,2-3 SiaLac,150.0,60.0,2.5,0.016,0.934,943.254818,881.0,True binder
1.0,2-3 SiaLac,150.0,60.0,2.5,0.015,0.888,970.720721,862.0,True binder
1.0,2-3 SiaLac,200.0,116.0,1.72,0.022,2.593,480.910143,1247.0,True binder
1.0,2-3 SiaLac,200.0,116.0,1.72,0.024,2.736,297.51462,814.0,True binder
1.0,2-3 SiaLac,200.0,116.0,1.72,0.022,2.502,418.465228,1047.0,True binder
1.0,2-3 SiaLac,200.0,116.0,1.72,0.022,2.563,403.823644,1035.0,True binder
1.0,2-3 SiaLac,200.0,116.0,1.72,0.018,2.077,324.025036,673.0,True binder
1.0,2-3 SiaLac,200.0,116.0,1.72,0.022,2.559,226.260258,579.0,True binder
1.0,2-3 SiaLac,300.0,147.0,2.04,0.004,0.654,1922.018349,1257.0,True binder
1.0,2-3 SiaLac,300.0,147.0,2.04,0.004,0.623,1460.674157,910.0,True binder
1.0,2-3 SiaLac,300.0,147.0,2.04,0.004,0.591,2289.340102,1353.0,True binder
1.0,2-3 SiaLac,300.0,147.0,2.04,0.004,0.531,2077.212806,1103.0,True binder
1.0,2-3 SiaLac,300.0,147.0,2.04,0.003,0.507,1850.098619,938.0,True binder
1.0,2-3 SiaLac,300.0,147.0,2.04,0.004,0.604,1746.688742,1055.0,True binder
5.0,2-3 SiaLac,150.0,60.0,2.5,0.036,2.142,335.6676,719.0,True binder
5.0,2-3 SiaLac,150.0,60.0,2.5,0.037,2.196,480.418944,1055.0,True binder
5.0,2-3 SiaLac,150.0,60.0,2.5,0.031,1.888,590.042373,1114.0,True binder
5.0,2-3 SiaLac,150.0,60.0,2.5,0.037,2.207,524.694155,1158.0,True binder
5.0,2-3 SiaLac,150.0,60.0,2.5,0.035,2.075,625.060241,1297.0,True binder
5.0,2-3 SiaLac,150.0,60.0,2.5,0.038,2.272,699.383803,1589.0,True binder
5.0,2-3 SiaLac,200.0,116.0,1.72,0.048,5.518,264.226169,1458.0,True binder
5.0,2-3 SiaLac,200.0,116.0,1.72,0.046,5.305,284.825636,1511.0,True binder
5.0,2-3 SiaLac,200.0,116.0,1.72,0.044,5.051,239.358543,1209.0,True binder
5.0,2-3 SiaLac,200.0,116.0,1.72,0.039,4.563,276.791584,1263.0,True binder
5.0,2-3 SiaLac,200.0,116.0,1.72,0.043,5.022,281.362007,1413.0,True binder
5.0,2-3 SiaLac,200.0,116.0,1.72,0.042,4.881,314.689613,1536.0,True binder
5.0,2-3 SiaLac,300.0,147.0,2.04,0.012,1.73,816.184971,1412.0,True binder
5.0,2-3 SiaLac,300.0,147.0,2.04,0.016,2.342,729.71819,1709.0,True binder
5.0,2-3 SiaLac,300.0,147.0,2.04,0.014,2.067,672.472182,1390.0,True binder
5.0,2-3 SiaLac,300.0,147.0,2.04,0.011,1.656,721.618357,1195.0,True binder
5.0,2-3 SiaLac,300.0,147.0,2.04,0.011,1.551,867.182463,1345.0,True binder
5.0,2-3 SiaLac,300.0,147.0,2.04,0.011,1.656,925.724638,1533.0,True binder
10.0,2-3 SiaLac,150.0,60.0,2.5,0.037,2.248,659.252669,1482.0,True binder
10.0,2-3 SiaLac,150.0,60.0,2.5,0.033,1.953,730.670763,1427.0,True binder
10.0,2-3 SiaLac,150.0,60.0,2.5,0.039,2.351,863.462356,2030.0,True binder
10.0,2-3 SiaLac,150.0,60.0,2.5,0.027,1.628,971.130221,1581.0,True binder
10.0,2-3 SiaLac,150.0,60.0,2.5,0.034,2.012,1019.383698,2051.0,True binder
10.0,2-3 SiaLac,150.0,60.0,2.5,0.044,2.634,1105.16325,2911.0,True binder
10.0,2-3 SiaLac,200.0,116.0,1.72,0.06,6.984,336.912944,2353.0,True binder
10.0,2-3 SiaLac,200.0,116.0,1.72,0.059,6.825,397.509158,2713.0,True binder
10.0,2-3 SiaLac,200.0,116.0,1.72,0.062,7.21,407.212205,2936.0,True binder
10.0,2-3 SiaLac,200.0,116.0,1.72,0.066,7.682,368.393647,2830.0,True binder
10.0,2-3 SiaLac,200.0,116.0,1.72,0.066,7.64,387.565445,2961.0,True binder
10.0,2-3 SiaLac,200.0,116.0,1.72,0.065,7.583,449.953844,3412.0,True binder
10.0,2-3 SiaLac,300.0,147.0,2.04,0.051,7.432,412.540366,3066.0,True binder
10.0,2-3 SiaLac,300.0,147.0,2.04,0.058,8.592,400.837989,3444.0,True binder
10.0,2-3 SiaLac,300.0,147.0,2.04,0.035,5.159,738.32138,3809.0,True binder
10.0,2-3 SiaLac,300.0,147.0,2.04,0.06,8.85,395.028249,3496.0,True binder
10.0,2-3 SiaLac,300.0,147.0,2.04,0.065,9.557,395.103066,3776.0,True binder
10.0,2-3 SiaLac,300.0,147.0,2.04,0.053,7.852,461.411105,3623.0,True binder
