PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,MVF_orig,Status
5.0,2-6 SiaLac,79.0,2.42,0.092,7.191,245.584759,190.0,1766.0,False non-binder
5.0,2-6 SiaLac,79.0,2.42,0.093,7.266,96.201486,190.0,699.0,False non-binder
5.0,2-6 SiaLac,79.0,2.42,0.085,6.703,105.325973,190.0,706.0,False non-binder
5.0,2-6 SiaLac,79.0,2.42,0.094,7.391,131.375998,190.0,971.0,False non-binder
5.0,2-6 SiaLac,71.0,2.69,0.081,5.748,107.341684,190.0,617.0,False non-binder
5.0,2-6 SiaLac,71.0,2.69,0.088,6.244,143.17745,190.0,894.0,False non-binder
5.0,2-6 SiaLac,71.0,2.69,0.089,6.301,150.769719,190.0,950.0,False non-binder
5.0,2-6 SiaLac,71.0,2.69,0.082,5.842,54.604587,190.0,319.0,True non-binder
5.0,2-6 SiaLac,71.0,2.69,0.083,5.895,172.858355,190.0,1019.0,False non-binder
5.0,2-6 SiaLac,71.0,2.69,0.085,6.011,86.508069,190.0,520.0,True non-binder
5.0,2-6 SiaLac,61.0,3.11,0.092,5.633,83.259364,190.0,469.0,True non-binder
5.0,2-6 SiaLac,61.0,3.11,0.1,6.13,0.0,190.0,0.0,True non-binder
5.0,2-6 SiaLac,61.0,3.11,0.094,5.751,33.037733,190.0,190.0,True non-binder
5.0,2-6 SiaLac,61.0,3.11,0.093,5.706,68.349106,190.0,390.0,True non-binder
5.0,2-6 SiaLac,61.0,3.11,0.094,5.751,39.819162,190.0,229.0,True non-binder
5.0,2-6 SiaLac,61.0,3.11,0.102,6.277,48.749403,190.0,306.0,True non-binder
5.0,2-6 SiaLac,53.0,3.62,0.104,5.473,13.338206,190.0,73.0,True non-binder
5.0,2-6 SiaLac,53.0,3.62,0.105,5.52,24.818841,190.0,137.0,True non-binder
5.0,2-6 SiaLac,53.0,3.62,0.105,5.52,130.253623,190.0,719.0,False non-binder
5.0,2-6 SiaLac,53.0,3.62,0.106,5.559,75.19338,190.0,418.0,True non-binder
5.0,2-6 SiaLac,53.0,3.62,0.106,5.598,93.426224,190.0,523.0,False non-binder
5.0,2-6 SiaLac,53.0,3.62,0.108,5.699,6.141428,190.0,35.0,True non-binder
10.0,2-6 SiaLac,105.0,1.81,0.075,7.913,49.665108,190.0,393.0,True non-binder
10.0,2-6 SiaLac,105.0,1.81,0.086,9.037,35.299325,190.0,319.0,True non-binder
10.0,2-6 SiaLac,105.0,1.81,0.087,9.134,79.483249,190.0,726.0,True non-binder
10.0,2-6 SiaLac,105.0,1.81,0.08,8.434,54.778278,190.0,462.0,True non-binder
10.0,2-6 SiaLac,105.0,1.81,0.087,9.153,97.235879,190.0,890.0,False non-binder
10.0,2-6 SiaLac,88.0,2.17,0.129,11.331,20.916071,190.0,237.0,True non-binder
10.0,2-6 SiaLac,88.0,2.17,0.141,12.366,31.295488,190.0,387.0,True non-binder
10.0,2-6 SiaLac,88.0,2.17,0.128,11.256,31.627576,190.0,356.0,True non-binder
