egg H1N1 binding to TL-VI-26-3,,,,,,,,,,,,,,,,,egg H1N1 binding to TL-VI-26-3,,,,,,,,,,,,,,
Block 2 and 10,,,,,,,,,,,,,,,,,Block 2 and 10,,,,,,,,,,,,,,
Block 1 and 9 are Ab control ,,,,,,,,,,,,,,,,,Block 1 and 9 are Ab control ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 2,,,,,,,,,,,,,,,,,Block 10,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,203,738,57578,140,15386,0.048,3.742,203,,,,,,,,,,12186,44313,3456393,135,14306.625,3.097,241.594,81
,,,,,,,-137,-498,-38858,140,15386,-0.032,-2.526,-137,,,,,,,,,,11134,40487,3158007,140,15386,2.631,205.252,137
,,,0.49,98,0.49,0.275,148,538,52742,135,14306.625,0.038,3.687,148,,,,,,0.49,98,0.49,0.275,2452,8916,873804,185,26866.625,0.332,32.524,147
,,,,,,,162,589,57731,140,15386,0.038,3.752,162,,,,,,,,,,3099,11269,1104371,160,20096,0.561,54.955,145
,,,,,,,126,458,44902,140,15386,0.030,2.918,126,,,,,,,,,,2272,8262,809658,180,25434,0.325,31.834,129
,,,,,,,123,447,43833,135,14306.625,0.031,3.064,123,,,,,,,,,,2443,8884,870596,190,28338.5,0.313,30.721,113
,,,,,,,188,684,66996,140,15386,0.044,4.354,188,,,,,,,,,,2522,9171,898749,175,24040.625,0.381,37.385,94
,,,,,,,-206,-749,-73411,140,15386,-0.049,-4.771,-206,,,,,,,,,,2061,7495,734465,245,47119.625,0.159,15.587,89
,,300,0.35,105,0.35,0.093,32,344,36168,130,13266.5,0.026,2.726,32,,,,,300,0.35,105,0.35,0.093,6841,73638,7732024,135,14306.625,5.147,540.451,31
,,,,,,,94,1012,106243,130,13266.5,0.076,8.008,94,,,,,,,,,,7122,76663,8049623,130,13266.5,5.779,606.763,92
