Medium polymer binding to different valencies ,,,,Slide used ,,TL-VI-99-3,,,,,,,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,,,,,,,,,
,,,,Block 1,,,Block 3,,,Block 10,,,Block 11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,,,,
,,61,3.11,0.145,8.900,3282,0.133,8.138,209,0.124,7.589,19,0.135,8.282,85,,,,,,
,,,,0.138,8.452,365,0.133,8.138,181,0.128,7.844,96,0.117,7.167,2,,,,,,
,,,,0.146,8.972,359,0.133,8.163,-42,0.128,7.860,329,0.139,8.495,-45,,,,,,
,,,,0.135,8.282,266,0.132,8.104,2255,0.123,7.557,44,0.119,7.317,-79,,,,,,
,,,,0.134,8.197,286,0.133,8.155,137,0.124,7.597,254,0.126,7.733,143,,,,,,
,,,,0.154,9.464,376,0.136,8.325,231,0.131,8.003,246,0.124,7.621,205,,,,,,
,,53,3.62,0.114,6.004,-88,0.103,5.418,-54,0.111,5.836,-173,0.099,5.213,-195,,,,,,
,,,,0.114,5.975,-61,0.103,5.411,-45,0.104,5.445,-201,0.096,5.046,-204,,,,,,
,,,,0.123,6.472,-59,0.110,5.800,-108,0.101,5.309,-91,0.104,5.466,-205,,,,,,
,,,,0.115,6.026,-50,0.112,5.880,-126,0.101,5.315,-170,0.096,5.040,-136,,,,,,
,,,,0.115,6.070,19,0.111,5.851,-36,0.102,5.363,-236,0.097,5.078,-218,,,,,,
,,,,0.120,6.318,43,0.105,5.534,-36,0.115,6.040,-194,0.095,4.988,-218,,,,,,
1,α2-3 SiaLac,111,1.72,0.018,2.044,3287,0.015,1.706,2032,0.016,1.805,1742,0.018,1.954,1427,,,,,,
,,,,0.017,1.883,3039,0.015,1.687,1640,0.016,1.763,2101,0.017,1.919,1808,,,,,,
,,,,0.016,1.772,3336,0.016,1.756,2037,0.018,1.985,2101,0.017,1.871,1753,,,,,,
,,,,0.015,1.625,2848,0.015,1.671,1745,0.019,2.100,1896,0.017,1.887,1620,,,,,,
,,,,0.015,1.625,3062,0.015,1.641,1684,0.017,1.917,1908,0.017,1.871,1522,,,,,,
,,,,0.013,1.472,2376,0.014,1.595,2197,0.019,2.084,1923,0.018,1.969,1476,,,,,,
,,93,2.05,0.027,2.493,2637,0.023,2.168,1966,0.016,1.487,1742,0.017,1.536,1080,,,,,,
,,,,0.028,2.614,2538,0.021,1.953,1444,0.016,1.515,1586,0.017,1.551,1192,,,,,,
,,,,0.028,2.553,2723,0.023,2.168,1240,0.018,1.639,1159,0.017,1.580,935,,,,,,
,,,,0.028,2.593,2617,0.021,1.970,1223,0.017,1.531,1231,0.017,1.570,942,,,,,,
,,,,0.027,2.493,2888,0.021,1.987,1142,0.018,1.680,1229,0.028,2.594,1167,,,,,,
,,,,0.020,1.874,2599,0.024,2.205,1633,0.017,1.595,1285,0.017,1.597,1136,,,,,,
,,83,2.30,0.030,2.523,2181,0.034,2.795,1558,0.021,1.757,1748,0.020,1.634,1295,,,,,,
,,,,0.033,2.712,2120,0.031,2.599,1546,0.022,1.794,1312,0.023,1.872,1047,,,,,,
,,,,0.034,2.811,2318,0.034,2.811,1297,0.023,1.880,1459,0.031,2.569,1254,,,,,,
,,,,0.031,2.569,2589,0.028,2.283,1397,0.023,1.929,1257,0.022,1.782,1160,,,,,,
,,,,0.029,2.431,2333,0.031,2.538,1314,0.023,1.905,1478,0.022,1.843,1045,,,,,,
,,,,0.025,2.109,2832,0.030,2.477,975,0.025,2.040,1625,0.023,1.942,1014,,,,,,
,,70,2.71,0.022,1.533,2033,0.020,1.374,1031,0.017,1.210,1351,0.055,3.843,1264,,,,,,
,,,,0.024,1.687,1476,0.021,1.455,1039,0.016,1.097,1148,0.030,2.105,1063,,,,,,
,,,,0.025,1.729,1845,0.020,1.410,1191,0.016,1.118,1229,0.063,4.453,1025,,,,,,
,,,,0.023,1.637,1716,0.020,1.386,843,0.015,1.074,1128,0.056,3.975,955,,,,,,
,,,,0.022,1.520,1252,0.018,1.255,832,0.018,1.264,1343,0.043,3.039,969,,,,,,
,,,,0.018,1.243,1335,0.019,1.322,582,0.017,1.161,1198,0.031,2.193,910,,,,,,
,,64,2.98,0.024,1.552,1435,0.024,1.566,1064,0.021,1.334,1125,0.043,2.734,685,,,,,,
,,,,0.022,1.405,1418,0.023,1.469,1239,0.014,0.892,821,0.035,2.259,798,,,,,,
,,,,0.028,1.765,347,0.025,1.607,49,0.015,0.930,968,0.025,1.617,668,,,,,,
,,,,0.024,1.552,1568,0.023,1.456,785,0.014,0.902,994,0.035,2.243,653,,,,,,
,,,,0.020,1.275,1633,0.020,1.263,639,0.013,0.825,761,0.028,1.762,535,,,,,,
,,,,0.021,1.322,1225,0.021,1.366,644,0.014,0.869,998,0.034,2.142,561,,,,,,
,,51,3.73,0.024,1.233,413,0.023,1.171,803,0.018,0.909,363,0.024,1.203,294,,,,,,
,,,,0.022,1.146,282,0.023,1.154,358,0.019,0.992,450,0.022,1.129,306,,,,,,
,,,,0.025,1.268,182,0.023,1.171,289,0.017,0.872,409,0.024,1.203,312,,,,,,
,,,,0.025,1.276,442,0.022,1.146,276,0.018,0.932,441,0.024,1.244,367,,,,,,
