egg H1N1 binding to TL-VI-26-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 5 new unpure + new HA,,,Block 13 new unpure + old HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 1 = new HA control ,,,Block 1 = old HA control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 5,,,,,,,,,,,,,,,,,Block 13,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,7922,28807,2246967,135,14306.625,2.014,157.058,338,,,,,,,,,,6970,25345,1976945,140,15386,1.647,128.490,94
,,,,,,,7464,27142,2117062,135,14306.625,1.897,147.978,306,,,,,,,,,,6686,24313,1896393,140,15386,1.580,123.254,82
,,,,,,,7458,27120,2115360,140,15386,1.763,137.486,297,,,,,,,,,,6747,24535,1913695,140,15386,1.595,124.379,93
,,,0.49,98,0.49,0.275,3415,12418,1216982,130,13266.5,0.936,91.733,357,,,,,,0.49,98,0.49,0.275,2970,10800,1058400,140,15386,0.702,68.790,102
,,,,,,,3377,12280,1203440,135,14306.625,0.858,84.118,387,,,,,,,,,,2263,8229,806451,170,22686.5,0.363,35.548,107
,,,,,,,3456,12567,1231593,130,13266.5,0.947,92.835,374,,,,,,,,,,3152,11462,1123258,140,15386,0.745,73.005,114
,,,,,,,3476,12640,1238720,130,13266.5,0.953,93.372,370,,,,,,,,,,3058,11120,1089760,140,15386,0.723,70.828,114
,,,,,,,3743,13611,1333869,130,13266.5,1.026,100.544,397,,,,,,,,,,3063,11138,1091542,140,15386,0.724,70.944,118
,,,,,,,3270,11891,1165309,135,14306.625,0.831,81.452,381,,,,,,,,,,3025,11000,1078000,145,16504.625,0.666,65.315,102
,,300,0.35,105,0.35,0.093,2524,27169,2852745,140,15386,1.766,185.412,189,,,,,300,0.35,105,0.35,0.093,2252,24241,2545318,145,16504.625,1.469,154.218,50
,,,,,,,2689,28945,3039236,140,15386,1.881,197.533,196,,,,,,,,,,2287,24618,2584876,145,16504.625,1.492,156.615,41
,,,,,,,2500,26911,2825619,135,14306.625,1.881,197.504,-823,,,,,,,,,,2227,23972,2517061,145,16504.625,1.452,152.506,50
,,,,,,,2628,28288,2970291,140,15386,1.839,193.052,171,,,,,,,,,,2178,23445,2461679,145,16504.625,1.420,149.151,36
,,,,,,,2545,27395,2876480,140,15386,1.781,186.954,189,,,,,,,,,,2070,22282,2339612,145,16504.625,1.350,141.755,49
,,,,,,,2678,28827,3026803,140,15386,1.874,196.724,192,,,,,,,,,,2275,24489,2571313,145,16504.625,1.484,155.793,64
