Medium polymer binding to different valencies ,,,,Slide used ,,TL-VI-99-2,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,,,
,,,,Block 2,,,Block 3,,,Block 10,,,Block 11,,
,,,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,0.090,7.604,223,0.084,7.100,214,0.089873176,7.604,-12,0.069,5.858,-79
10,Lac,109,1.75,0.133,14.496,301,0.126,13.739,175,0.148817775,16.236,116,0.124,13.485,24
,,,,0.122,13.264,244,0.120,13.094,233,0.126408534,13.791,166,0.113,12.368,27
,,,,0.119,13.037,200,0.130,14.178,113,0.133786235,14.596,123,0.122,13.352,-6
,,,,0.119,13.037,124,0.127,13.830,66,0.13820248,15.078,102,0.120,13.113,-406
,,,,0.112,12.209,76,0.121,13.151,-18,0.126530432,13.804,168,0.124,13.538,-295
,,,,0.120,13.080,23,0.131,14.314,203,0.120069823,13.100,-53,0.132,14.384,187
,,95,2.01,0.118,11.125,242,0.116,10.954,93,0.146459991,13.846,98,0.127,11.997,21
,,,,0.118,11.138,282,0.116,10.990,168,0.143824821,13.597,122,0.118,11.132,-54
,,,,0.116,10.954,191,0.115,10.904,79,0.142299196,13.453,108,0.127,11.973,-14
,,,,0.117,11.027,122,0.117,11.052,74,0.15673483,14.818,55,0.121,11.444,-239
