Medium polymer binding to different valencies ,,,,Slide used ,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,
,,,,Block 2,,,Block 10,,,Block 11,,,
,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,
,,93,2.05,0.069,6.408,3300,0.095,8.832,1587,0.050,3.512,3926,
,,,,0.077,7.119,2352,0.089,8.242,1790,0.049,4.594,2324,
,,,,0.085,7.888,2582,0.097,8.975,1286,0.049,4.529,2898,
,,,,0.080,7.408,1029,0.091,8.464,1288,0.054,4.516,3976,
,,,,0.087,8.050,223,0.099,9.166,1485,0.046,5.054,3144,
,,,,0.088,8.139,857,0.093,8.656,1785,0.053,4.290,3744,
,,83,2.30,0.109,9.004,1864,0.124,10.265,950,0.071,4.943,3478,
,,,,0.102,8.468,1604,0.115,9.545,1399,0.075,5.862,1405,
,,,,0.109,9.018,720,0.125,10.336,1407,0.069,6.202,2327,
,,,,0.102,8.443,897,0.117,9.703,1587,0.083,5.690,2828,
,,,,0.101,8.357,689,0.117,9.690,1406,0.083,6.891,1950,
,,,,0.088,7.292,829,0.128,10.577,2232*,0.087,6.868,1936,
,,70,2.71,0.094,6.611,1002,0.107,7.555,1728,0.070,7.166,2325,
,,,,0.086,6.037,922,0.100,7.036,1684,0.064,4.939,1229,
,,,,0.095,6.700,1545,0.108,7.567,1338,0.065,4.479,1757,
,,,,0.094,6.622,1372,0.101,7.092,1055,0.073,4.552,1851,
,,,,0.088,6.215,1162,0.102,7.182,1790,0.073,5.114,1390,
,,,,0.096,6.756,842,0.112,7.881,2143*,0.074,5.144,1850,
,,64,2.98,0.071,4.565,690,0.083,5.304,921,0.052,5.222,1264,
,,,,0.072,4.593,1061,0.083,5.314,443,0.052,3.320,1816,
,,,,0.072,4.593,1104,0.083,5.335,707,0.063,3.305,2050,
,,,,0.070,4.499,976,0.077,4.916,602,0.059,4.000,2768,
,,,,0.071,4.565,313,0.077,4.926,444,0.063,3.754,3349,
,,,,0.066,4.213,458,0.084,5.365,1095*,0.059,4.035,4166*,
,,51,3.73,0.099,5.057,134,0.099,5.032,753,0.072,3.787,481,
