



,,,,,,,,,,,,Block 10,,,,,,,,,,,,,,,,,Block 11,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
10,α2-6 SiaLac,150,0.29,44,0.29,0.063,3625,57540,2531746,145,16504.625,3.486,153.396,2439,,,10,α2-6 SiaLac,150,0.29,44,0.29,0.063,3317,52651,2316635,145,16504.625,3.190,140.363,3445
,,,,,,,3617,57413,2526159,145,16504.625,3.479,153.058,3183,,,,,,,,,,3387,53762,2365524,145,16504.625,3.257,143.325,3268
,,,,,,,3644,57841,2545016,145,16504.625,3.505,154.200,2487,,,,,,,,,,3512,55746,2452825,145,16504.625,3.378,148.614,4354
,,,,,,,3690,58571,2577143,140,15386,3.807,167.499,2732,,,,,,,,,,3521,55889,2459111,145,16504.625,3.386,148.995,3896
,,,,,,,4048,64254,2827175,145,16504.625,3.893,171.296,3464,,,,,,,,,,3848,61079,2687492,140,15386,3.970,174.671,4040
,,,,,,,3810,60476,2660952,140,15386,3.931,172.946,3378,,,,,,,,,,3937,62492,2749651,145,16504.625,3.786,166.599,3773
,,,0.40,60,0.40,0.063,2523,40048,2402857,135,14306.625,2.799,167.954,2822,,,,,,0.40,60,0.40,0.063,2020,32063,1923810,145,16504.625,1.943,116.562,2838
,,,,,,,2575,40873,2452381,135,14306.625,2.857,171.416,2664,,,,,,,,,,2109,33476,2008571,140,15386,2.176,130.545,2464
,,,,,,,2672,42413,2544762,135,14306.625,2.965,177.873,3704,,,,,,,,,,2239,35540,2132381,140,15386,2.310,138.592,2847
,,,,,,,2673,42429,2545714,130,13266.5,3.198,191.890,3689,,,,,,,,,,2281,36206,2172381,140,15386,2.353,141.192,2691
,,,,,,,3155,50079,3004762,130,13266.5,3.775,226.492,3499,,,,,,,,,,2412,38286,2297143,135,14306.625,2.676,160.565,3657
,,,,,,,2809,44587,2675238,135,14306.625,3.117,186.993,3322,,,,,,,,,,2794,44349,2660952,140,15386,2.882,172.946,4733
,,200,0.39,78,0.39,0.275,16416,59695,4656175,140,15386,3.880,302.624,3260,,,,,200,0.39,78,0.39,0.275,15431,56113,4376793,140,15386,3.647,284.466,3699
,,,,,,,16159,58760,4583280,140,15386,3.819,297.886,3076,,,,,,,,,,15556,56567,4412247,145,16504.625,3.427,267.334,3594
,,,,,,,16715,60782,4740982,135,14306.625,4.249,331.384,2960,,,,,,,,,,16088,58502,4563142,145,16504.625,3.545,276.477,2904
,,,,,,,17015,61873,4826073,135,14306.625,4.325,337.331,2743,,,,,,,,,,15819,57524,4486844,145,16504.625,3.485,271.854,4066
,,,,,,,18124,65905,5140625,140,15386,4.283,334.111,2656,,,,,,,,,,17780,64655,5043055,140,15386,4.202,327.769,3546
,,,,,,,17564,63869,4981789,140,15386,4.151,323.787,4101,,,,,,,,,,17914,65142,5081062,140,15386,4.234,330.239,3450
