PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,Status,Experiment,Self-model,Cross-model
1.0,2-3 SiaLac,150.0,51.0,0.34,0.759,38.693,16.385392706691135,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,150.0,51.0,0.34,0.742,37.841,17.045004096086256,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,150.0,51.0,0.34,0.677,34.544,17.687586845761928,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,150.0,51.0,0.34,0.671,34.232,19.922879177377894,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,150.0,51.0,0.34,0.868,44.243,15.121036096105598,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,150.0,51.0,0.34,0.661,33.73,21.553513193003262,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,150.0,87.0,0.58,0.322,28.001,22.034927324024142,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,150.0,87.0,0.58,0.319,27.793,20.07699780520275,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,150.0,87.0,0.58,0.305,26.544,22.001205545509343,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,150.0,87.0,0.58,0.306,26.641,21.13284035884539,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,150.0,87.0,0.58,0.298,25.965,21.837088388214905,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,150.0,87.0,0.58,0.307,26.738,22.851372578352905,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,200.0,74.0,0.37,0.499,36.902,32.735353097393094,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,200.0,74.0,0.37,0.495,36.623,32.766294405155236,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,200.0,74.0,0.37,0.506,37.48,34.845250800426896,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,200.0,74.0,0.37,0.502,37.182,31.359259856920012,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,200.0,74.0,0.37,0.512,37.864,30.71519121064864,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,200.0,74.0,0.37,0.533,39.438,30.60500025356255,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,200.0,104.0,0.52,0.499,51.882,25.808565591149147,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,200.0,104.0,0.52,0.454,47.185,30.348627741867116,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,200.0,104.0,0.52,0.467,48.533,26.18836667834257,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,200.0,104.0,0.52,0.459,47.766,26.127370933299837,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,200.0,104.0,0.52,0.463,48.189,23.698354396231505,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,200.0,104.0,0.52,0.454,47.185,24.54169757338137,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,300.0,108.0,0.36,0.461,49.793,28.2971502018356,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,300.0,108.0,0.36,0.514,55.5,30.7027027027027,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,300.0,108.0,0.36,0.476,51.455,25.459139053541932,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,300.0,108.0,0.36,0.479,51.682,32.50648194729306,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,300.0,108.0,0.36,0.477,51.531,22.821214414624208,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,300.0,108.0,0.36,0.509,55.012,21.286264814949465,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,300.0,138.0,0.46,0.634,87.426,13.874591082744264,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,300.0,138.0,0.46,0.624,86.076,20.098517589107303,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,300.0,138.0,0.46,0.638,88.049,13.537916387466069,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,300.0,138.0,0.46,0.645,88.983,11.552768506343908,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,300.0,138.0,0.46,0.603,83.223,11.631399973565,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,300.0,138.0,0.46,0.646,89.191,9.530109540200245,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,150.0,51.0,0.34,2.099,107.057,10.723259572003698,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,150.0,51.0,0.34,2.086,106.378,11.750549925736525,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,150.0,51.0,0.34,2.117,107.962,11.077971878994461,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,150.0,51.0,0.34,1.996,101.809,10.93223585341178,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,150.0,51.0,0.34,2.011,102.545,10.317421619776683,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,150.0,51.0,0.34,2.041,104.071,10.079657157133111,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,150.0,87.0,0.58,1.798,156.452,7.599775010865953,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,150.0,87.0,0.58,1.455,126.545,10.186099806392983,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,150.0,87.0,0.58,1.895,164.828,7.268182590336593,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,150.0,87.0,0.58,1.724,149.998,7.820104268056908,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,150.0,87.0,0.58,1.655,144.016,7.4297300299966675,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,150.0,87.0,0.58,1.743,151.664,6.290220487393185,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,200.0,74.0,0.37,2.213,163.787,6.813727585217386,Gained in MDCK,Binder,Binder,Non-binder
