PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,Status,Experiment,Self-model,Cross-model
1.0,2-3 SiaLac,70.0,2.71,0.032,2.258,857.3959255978742,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,70.0,2.71,0.021,1.446,1320.8852005532503,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,64.0,2.98,0.018,1.122,1420.6773618538323,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,64.0,2.98,0.018,1.181,829.805249788315,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,64.0,2.98,0.021,1.366,488.2869692532943,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,64.0,2.98,0.019,1.228,659.6091205211726,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,64.0,2.98,0.023,1.469,544.5881552076243,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,64.0,2.98,0.02,1.252,1424.9201277955272,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,51.0,3.73,0.027,1.355,571.9557195571956,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,51.0,3.73,0.029,1.499,1001.3342228152101,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,51.0,3.73,0.032,1.632,387.25490196078437,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,51.0,3.73,0.028,1.452,190.0826446280992,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,51.0,3.73,0.03,1.518,267.45718050065875,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,51.0,3.73,0.028,1.452,421.4876033057851,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,111.0,1.72,0.05,5.581,688.407095502598,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,111.0,1.72,0.05,5.535,343.0894308943089,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,111.0,1.72,0.05,5.489,320.8234651120423,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,111.0,1.72,0.04,4.473,503.46523585960205,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,111.0,1.72,0.057,6.268,277.44097000638163,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,111.0,1.72,0.054,5.995,392.8273561301084,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,93.0,2.05,0.069,6.408,514.9812734082396,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,93.0,2.05,0.077,7.119,330.3834808259587,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,93.0,2.05,0.085,7.888,327.33265720081135,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,93.0,2.05,0.08,7.408,138.90388768898487,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,93.0,2.05,0.087,8.05,27.701863354037265,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,93.0,2.05,0.088,8.139,105.29549084654136,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,83.0,2.3,0.109,9.004,207.01910262105733,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,83.0,2.3,0.102,8.468,189.4189891355692,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,83.0,2.3,0.109,9.018,79.84031936127744,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,83.0,2.3,0.102,8.443,106.24185715977734,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,83.0,2.3,0.101,8.357,82.44585377527822,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,83.0,2.3,0.088,7.292,113.68623148656062,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,70.0,2.71,0.094,6.611,151.56557253063076,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,70.0,2.71,0.086,6.037,152.72486334271989,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,70.0,2.71,0.095,6.7,230.59701492537312,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,70.0,2.71,0.094,6.622,207.18816067653276,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,70.0,2.71,0.088,6.215,186.96701528559936,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,70.0,2.71,0.096,6.756,124.6299585553582,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,64.0,2.98,0.071,4.565,151.1500547645126,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,64.0,2.98,0.072,4.593,231.00370128456348,190.0,Conserved,Binder,Binder,Binder
